contributor,repo_with_contributor_PR,contributor_PR,reason_for_inclusion_of_the_contributor_in_the_list,comment_to_the_reason
zkochan,https://github.com/pnpm/pnpm.github.io,https://github.com/pnpm/pnpm.github.io/pull/238,"Политические лозунги, блокировка","Заблокирован доступ на основной сайт https://pnpm.io по ~нац~ гео признаку. Основной мэйнтэйнер Украинец и, как видно, на дух не переносит русских."
Dmi3yy,https://github.com/evolution-cms/evolution,https://github.com/evolution-cms/evolution/pull/2074,Политические лозунги,После обновления на релизы Evolution CMS 3.1.10 и Evolution CMS 1.4.17 полит. лозунг в админке
Dmi3yy,https://github.com/ukraine-not-war/stop-war,https://github.com/ukraine-not-war/stop-war/pull/5,Политические лозунги,После обновления на релизы Evolution CMS 3.1.10 и Evolution CMS 1.4.17 полит. лозунг в админке
Dmi3yy,https://github.com/ukraine-not-war/stop-war,https://github.com/ukraine-not-war/stop-war/pull/4,Политические лозунги,После обновления на релизы Evolution CMS 3.1.10 и Evolution CMS 1.4.17 полит. лозунг в админке
Dmi3yy,https://github.com/ukraine-not-war/stop-war,https://github.com/ukraine-not-war/stop-war/pull/3,Политические лозунги,После обновления на релизы Evolution CMS 3.1.10 и Evolution CMS 1.4.17 полит. лозунг в админке
arendst,https://github.com/arendst/Tasmota,https://github.com/arendst/Tasmota/pull/15289,"Малварь, шифровальщик или иные фатальные угрозы","При обнаружении запуска в России или Беларуси, показывает политические лозунги и далее комментарии самого автора ""Turn all power off - annoying"
arendst,https://github.com/arendst/Tasmota,https://github.com/arendst/Tasmota/pull/15286,"Малварь, шифровальщик или иные фатальные угрозы","При обнаружении запуска в России или Беларуси, показывает политические лозунги и далее комментарии самого автора ""Turn all power off - annoying"
MaxymVlasov,https://github.com/antonbabenko/pre-commit-terraform,https://github.com/antonbabenko/pre-commit-terraform/pull/350,Политические лозунги,см. условия использования в конце readme
uglide,https://github.com/uglide/RedisDesktopManager,https://github.com/uglide/RedisDesktopManager/pull/5221,"удаление русского языка, лозунги",как бы чего еще туда не заложили вредного
MaxymVlasov,https://github.com/shalb/.github,https://github.com/shalb/.github/pull/1,Политические лозунги,см. условия использования в конце readme
uglide,https://github.com/uglide/RedisDesktopManager,https://github.com/uglide/RedisDesktopManager/pull/5221,"удаление русского языка, лозунги",как бы чего еще туда не заложили вредного
uglide,https://github.com/uglide/RedisDesktopManager,https://github.com/uglide/RedisDesktopManager/pull/5211,"удаление русского языка, лозунги",как бы чего еще туда не заложили вредного
dmitryvinn,https://github.com/facebookresearch/pyrobot,https://github.com/facebookresearch/pyrobot/pull/198,Политические лозунги,Баннер в поддержку украины. Автор: https://github.com/dmitryvinn
michalbundyra,https://github.com/webimpress/coding-standard,https://github.com/webimpress/coding-standard/pull/168,Политические лозунги,Данный политический лозунг есть во всех пакетах laminas/ и mezzio/.
michalbundyra,https://github.com/webimpress/coding-standard,https://github.com/webimpress/coding-standard/pull/167,Политические лозунги,Данный политический лозунг есть во всех пакетах laminas/ и mezzio/.
dmitryvinn,https://github.com/facebook/CacheLib,https://github.com/facebook/CacheLib/pull/121,Политические лозунги,Баннер в поддержку украины. Автор: https://github.com/dmitryvinn
dmitryvinn,https://github.com/facebookresearch/vissl,https://github.com/facebookresearch/vissl/pull/530,Политические лозунги,Баннер в поддержку украины. Автор: https://github.com/dmitryvinn
dmitryvinn,https://github.com/facebookincubator/Glean,https://github.com/facebookincubator/Glean/pull/103,Политические лозунги,Баннер в поддержку украины. Автор: https://github.com/dmitryvinn
dmitryvinn,https://github.com/facebook/hermes,https://github.com/facebook/hermes/pull/691,Политические лозунги,Баннер в поддержку украины. Автор: https://github.com/dmitryvinn
dmitryvinn,https://github.com/facebookresearch/pyrobot,https://github.com/facebookresearch/pyrobot/pull/198,Политические лозунги,docs: add homepage banner in support of Ukraine (#12113)
dmitryvinn,https://github.com/facebook/CacheLib,https://github.com/facebook/CacheLib/pull/121,Политические лозунги,docs: add homepage banner in support of Ukraine (#12113)
dmitryvinn,https://github.com/facebookresearch/vissl,https://github.com/facebookresearch/vissl/pull/530,Политические лозунги,docs: add homepage banner in support of Ukraine (#12113)
dmitryvinn,https://github.com/facebookincubator/Glean,https://github.com/facebookincubator/Glean/pull/103,Политические лозунги,docs: add homepage banner in support of Ukraine (#12113)
dmitryvinn,https://github.com/facebook/hermes,https://github.com/facebook/hermes/pull/691,Политические лозунги,docs: add homepage banner in support of Ukraine (#12113)
Dmi3yy,https://github.com/evolution-cms/evolution,https://github.com/evolution-cms/evolution/pull/2082,Политические лозунги,Полит лозунг в cms
Dmi3yy,https://github.com/evolution-cms/installer,https://github.com/evolution-cms/installer/pull/37,Политические лозунги,Полит лозунг в cms
Dmi3yy,https://github.com/evolution-cms/evolution,https://github.com/evolution-cms/evolution/pull/2074,Политические лозунги,Полит лозунг в cms
Dmi3yy,https://github.com/ukraine-not-war/stop-war,https://github.com/ukraine-not-war/stop-war/pull/5,Политические лозунги,Полит лозунг в cms
Dmi3yy,https://github.com/ukraine-not-war/stop-war,https://github.com/ukraine-not-war/stop-war/pull/4,Политические лозунги,Полит лозунг в cms
Dmi3yy,https://github.com/ukraine-not-war/stop-war,https://github.com/ukraine-not-war/stop-war/pull/3,Политические лозунги,Полит лозунг в cms
